MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU272010101365,달서소방서,송현119안전센터,해맞이단란주점,단란주점,20230509164902,20230509,164902,2023,05,09,,20100210,20101207,20220811,대구광역시 달서구 송현동 ,월배로,,석고보드. 유리. 타일. 콘크리트,350.0,,,1/4,,양식(옥),철근콘크리트조,,Y
MU272010101383,달서소방서,죽전119안전센터,왔다노래연습장,노래연습장업,20230216195139,20230216,195139,2023,02,16,근린생활시설,20100304,20101207,20140924,대구광역시 달서구 감삼동 ,감삼북길,,석고보드 위 종이벽지 등,171.0,,45.0,1/4,미소노래방건물 - 미소노래방건물동,양식(옥),철근콘크리트조,,Y
MU272010101394,달서소방서,도원119안전센터,두바이노래연습장,노래연습장업,20230224160259,20230224,160259,2023,02,24,근린생활시설,20100209,20100309,20221213,대구광역시 달서구 유천동 ,달서대로,,선고보드위핸디. 타일 등,267.0,,78.0,0/3,훔친갈비 - 동명칭없음동,양식(옥),철근콘크리트조,,Y
MU272010100712,달서소방서,본리119안전센터,프린스,유흥주점,20230516163213,20230516,163213,2023,05,16,근린생활시설,20100604,20100610,20130731,대구광역시 달서구 본리동 ,와룡로,,석고보드 등,368.0,MDF,85.0,1/5,송학구이건물 - 송학구이건물동,양식(옥),철근콘크리트조,,Y
MU272010100602,달서소방서,송현119안전센터,쏘울,일반음식점,20230509164939,20230509,164939,2023,05,09,,20100420,20100511,,대구광역시 달서구 송현동 ,구마로,,석고보드 등,271.0,목재,75.0,1/4,,양식(옥),철근콘크리트조,,Y
MU272010100544,강북소방서,구암119안전센터,소디스에스프레소바 대구북구점,일반음식점,20230120132923,20230120,132923,2023,01,20,근린생활시설,20100427,20100428,,대구광역시 북구 동천동 ,동천로,,석고보드.유리 등,440.0,MDF위 방염필름. 목재위 방염도료,168.0,8/2,더웰빌딩 - 더웰빌딩동,기타 식,철근콘크리트조,,Y
MU272010100650,달서소방서,본리119안전센터,퀸노래연습장,노래연습장업,20230703195715,20230703,195715,2023,07,03,,20100520,20100526,20200721,대구광역시 달서구 두류동 ,당산로38길,,석고보드등,150.0,MDF,58.0,1/4,,양식(옥),철근콘크리트조,,Y
MU502009101006,서귀포소방서,동홍센터,지장샘단란주점,단란주점,20230323163108,20230323,163108,2023,03,23,위락시설,20061229,20061229,20110218,제주특별자치도 서귀포시 서귀동 ,중앙로,,석고보드,215.0,해당없음,0.0,1/3,지장샘단란주점 - 지장샘단란주점동,양식(옥),철근콘크리트조,,Y
MU502009100552,제주소방서,오라센터,산딸기,단란주점,20230425095009,20230425,095009,2023,04,25,,,20070207,20230421,제주특별자치도 제주시 삼도일동 ,서광로,,석고보드,,해당없음,,3/1,,양식(옥),철근콘크리트조,,Y
MU502009101115,제주소방서,삼도센터,오페라(구/ 열창),단란주점,20230703163829,20230703,163829,2023,07,03,,,20070330,20230703,제주특별자치도 제주시 삼도이동 ,중앙로,,석고보드,,없음,,1/3,,양식(옥),철근콘크리트조,,Y
MU502009101120,제주소방서,항만센터,방가방가,단란주점,20231013101721,20231013,101721,2023,10,13,,,20070330,20231013,제주특별자치도 제주시 일도이동 ,고마로,대명빌딩,석고,,,,지하,대명빌딩 - 대명빌딩동,양식(옥),철근콘크리트조,,Y
MU502010105321,제주소방서,항만센터,술마시는 노래주점 첼로(구/ 알라딘),유흥주점,20230831093730,20230831,093730,2023,08,31,,20100813,20100930,20230830,제주특별자치도 제주시 일도이동 ,고마로13길,,석고보드.타일,298.0,목재(방염필름),36.0,1/2,이종탁건물(비젼단란) - 이종탁건물동,양식(옥),철골조,,Y
MU502010105341,제주소방서,항만센터,당근골프존파크스크린 5층(구. 일도골프존스크린),가상체험체육시설(스크린골프연습장),20230123200036,20230123,200036,2023,01,23,근린생활시설,,20150421,20220825,제주특별자치도 제주시 일도이동 ,고마로,유성빌딩,,,무대막. 벽지,,1/5,극동빌딩(유성건설) - 극동빌딩동,양식(옥),철근콘크리트조,,Y
MU502009102402,제주소방서,연동센터,부르네,유흥주점,20230704154202,20230704,154202,2023,07,04,복합건축물,,20070531,20230704,제주특별자치도 제주시 연동 ,삼무로,,,,,,3/1,원 무도학원 - 147-본동동,양식(옥),철근콘크리트조,,Y
MU502009100576,서귀포소방서,동홍센터,궁전,유흥주점,20230704103822,20230704,103822,2023,07,04,위락시설,20070528,20070528,20230616,제주특별자치도 서귀포시 서귀동 ,명동로,,석고보드. 핸드코트,248.0,홀 및 룸 벽체장식등,66.0,지상4지하1,금우장(동화장)여관 - 금우장모텔동,양식(옥),철근콘크리트조,,Y
MU502009101600,서귀포소방서,동홍센터,여미지가요방,유흥주점,20230228170746,20230228,170746,2023,02,28,위락시설,20070306,20070306,20150409,제주특별자치도 서귀포시 서귀동 ,동문로,조은동물병원,석고보드,278.0,문. 카운터. 몰딩 등,42.0,1/4,향목유흥주점(구 국도극장) - 본동동,양식(옥),철근콘크리트조,,Y
MU502009100421,제주소방서,오라센터,타임,단란주점,20230225115819,20230225,115819,2023,02,25,,,20070404,20230222,제주특별자치도 제주시 삼도일동 ,서광로,,석고보드,,벽체MDF(성적서번호 : 2007-102),,3/1,,양식(옥),철근콘크리트조,,Y
MU302009102096,둔산소방서,탄방119안전센터,미사리,일반음식점,20230824145655,20230824,145655,2023,08,24,,,20070702,20230712,대전광역시 서구 용문동 ,계룡로620번길,,석고보드. 철,441.0,MDF,115.0,3,,양식(옥),철근콘크리트조,,Y
