순번,지역,조회지역,업종,분야,상호,대표자,우편번호,본사주소,전화번호
1,서울,강남구,공사업,전문,환경이엔지(주),유창수,6069,"서울특별시 강남구 학동로 401 , 9층(청담동, 금하빌딩)",02-2274-1511
2,서울,강남구,공사업,전문,국제공영(주),김종만,6069,서울특별시 강남구 학동로 413  (청담동) ,02-549-1119
3,서울,강남구,공사업,전문,(주)삼민설비,황창선,6196,"서울특별시 강남구 역삼로77길 21 201호(대치동,제이시빌)",02-553-2148
4,서울,강남구,공사업,전문,(주)강남소방,김효정,6161,서울특별시 강남구 선릉로96길 5-6  (삼성동) ,02-568-0119
5,서울,강남구,공사업,전문,(주)금화피에스시,"김경태,김성기",6131,서울특별시 강남구 테헤란로25길 15-4  (역삼동) ,02-2186-6220
6,서울,강남구,공사업,전문,(주)캐스트윈,"김낙희,양영한",6222,서울특별시 강남구 테헤란로38길 40-12 (역삼동),02-6005-9000
7,서울,강남구,공사업,전문,(주)리트코,정종경,6255,"서울특별시 강남구 논현로63길 63 (역삼동, 리트코빌딩)",02-2009-1815
8,서울,강남구,공사업,전문,(주)창대전기통신,송병택,6130,"서울특별시 강남구 테헤란로7길 22 , 1관 1층 103호(역삼동, 한국과학기술회관)",02-525-3355
9,서울,강남구,공사업,전문,(주)우현이앤지,조기남,6038,"서울특별시 강남구 도산대로8길 12 , 2층(논현동)",02-2678-0412
10,서울,강남구,공사업,전문,(주)성도이엔지,"이언웅,정영용",6172,서울특별시 강남구 영동대로106길 42  (삼성동) ,02-6244-5273
11,서울,강남구,공사업,전문,삼우설비(주),"노원석,이원재",6130,서울특별시 강남구 강남대로94길 59  (역삼동) ,02-563-5640
12,서울,강남구,공사업,전문,(주)한방,김진구,6296,서울특별시 강남구 논현로30길 47  (도곡동) ,02-2055-9000
13,서울,강남구,공사업,전문,준제이엔씨(주),"고형준,이병철",6058,서울특별시 강남구 언주로136길 11  (논현동) ,02-3486-0691
14,서울,강남구,공사업,전문,대명지이씨(주),"김한욱,서종만",6232,"서울특별시 강남구 테헤란로2길 21 , 제7층, 제8층(역삼동, 타워300)",02-2182-3900
15,서울,강남구,공사업,전문,경창계전(주),이성욱,6227,"서울특별시 강남구 역삼로 208 , 5층(역삼동)",02-566-9956
16,서울,강남구,공사업,전문,(주)금성전력기술,김일혁,6197,"서울특별시 강남구 선릉로86길 46 , 4층 (대치동)",02-568-5211
17,서울,강남구,공사업,전문,(주)신일건업,홍상철,6097,서울특별시 강남구 선릉로 622  (삼성동),02-2056-1911
18,서울,강남구,공사업,전문,일렉파워(주),김성호,6342,"서울특별시 강남구 양재대로55길 29  401호,501호(일원동,대평빌딩)",02-3412-9253
19,서울,강남구,공사업,전문,(주)삼진일렉스,"김성관,조찬형",6106,서울특별시 강남구 학동로30길 33  (논현동) 삼진빌딩,02-2007-0114
